reviewers,messages,len_messages,churn,revisions,files,duration,len_description,inline_comments,,,,,,,,,,,,,,,,,
4,9,722,505,1,8,6427.379,110,1,,,,,,,,,,,,,,,,,
17,19,3206,26,1,1,620.4839,351,1,,,,,,,,,,,,,,,,,
2,6,1022,1192,2,26,16.6725,195,1,,,,,,,,,,,,,,,,,
2,5,285,458,1,10,1687.743,352,4,,,,,,,,,,,,,,,,,
8,22,9396,44,3,3,1122.113,562,2,,,,,,,,,,,,,,,,,
21,65,12636,375,3,8,811.1453,689,17,,,,,,,,,,,,,,,,,
3,7,2254,23,2,1,7.069722,249,2,,,,,,,,,,,,,,,,,
3,7,2206,48,2,1,6.838611,250,0,,,,,,,,,,,,,,,,,
3,26,987,171,12,17,2737.641,197,5,,,,,,,,,,,,,,,,,
3,15,467,358,7,8,224.5197,152,0,,,,,,,,,,,,,,,,,
12,15,3170,1611,4,6,5232.329,413,5,,,,,,,,,,,,,,,,,
1,3,98,233,1,2,51.86667,268,0,,,,,,,,,,,,,,,,,
2,5,410,75,1,2,52.15833,315,2,,,,,,,,,,,,,,,,,
17,20,3590,305,1,9,2859.192,236,1,,,,,,,,,,,,,,,,,
20,53,9812,198,3,6,2510.474,455,0,,,,,,,,,,,,,,,,,
8,49,22536,16,12,1,2471.935,235,5,,,,,,,,,,,,,,,,,
6,9,1788,96,1,2,4069.334,218,1,,,,,,,,,,,,,,,,,
0,1,134,78,1,2,16.93556,342,0,,,,,,,,,,,,,,,,,
0,1,134,66,1,1,16.94,342,0,,,,,,,,,,,,,,,,,
0,1,134,41,1,1,16.945,342,0,,,,,,,,,,,,,,,,,
0,1,134,45,1,1,16.94528,342,0,,,,,,,,,,,,,,,,,
0,1,134,40,1,1,16.9475,342,0,,,,,,,,,,,,,,,,,
0,1,134,90,1,1,16.94861,342,0,,,,,,,,,,,,,,,,,
0,1,134,64,1,2,16.94944,411,0,,,,,,,,,,,,,,,,,
10,43,20468,420,8,1,1722.76,436,33,,,,,,,,,,,,,,,,,
9,15,1790,336,3,1,2013.225,244,11,,,,,,,,,,,,,,,,,
4,7,175,136,4,13,72.62083,323,0,,,,,,,,,,,,,,,,,
3,5,413,160,2,1,641.2011,89,1,,,,,,,,,,,,,,,,,
11,67,24471,427,12,7,6569.801,379,2,,,,,,,,,,,,,,,,,
9,28,13035,72,4,1,4358.505,519,1,,,,,,,,,,,,,,,,,
16,24,4339,46,1,1,2213.346,302,0,,,,,,,,,,,,,,,,,
2,5,212,810,4,14,5328.059,440,0,,,,,,,,,,,,,,,,,
1,3,208,31,1,1,468.6556,231,0,,,,,,,,,,,,,,,,,
3,8,814,109,3,3,3019.699,600,0,,,,,,,,,,,,,,,,,
25,47,9683,126,2,4,2161.943,1673,27,,,,,,,,,,,,,,,,,
31,132,24413,227,6,11,1968.28,1218,31,,,,,,,,,,,,,,,,,
13,16,2601,32,1,1,1416.153,430,0,,,,,,,,,,,,,,,,,
6,54,1543,466,24,5,1954.642,105,51,,,,,,,,,,,,,,,,,
2,8,476,84,5,1,21206.31,155,0,,,,,,,,,,,,,,,,,
2,4,710,136,1,1,3086.535,483,0,,,,,,,,,,,,,,,,,
3,7,765,141,3,1,3155.308,488,8,,,,,,,,,,,,,,,,,
11,7,633,120,2,1,2742.717,88,2,,,,,,,,,,,,,,,,,
11,23,7037,115,3,4,5223.786,317,9,,,,,,,,,,,,,,,,,
3,10,758,70,3,2,358.7719,151,4,,,,,,,,,,,,,,,,,
6,5,1137,106,2,2,22.97694,153,0,,,,,,,,,,,,,,,,,
0,2,60,107,1,1,600.1233,81,0,,,,,,,,,,,,,,,,,
